2020-11-24T05:00:00Z,22.295,24.21,20.665,23.84,764587
2020-11-23T05:00:00Z,18.79,21.435,18.585,21.025,436317
2020-11-20T05:00:00Z,19.05,19.65,18,18.115,732439
2020-11-19T05:00:00Z,18.49,18.965,17.97,18.965,544021
2020-11-18T05:00:00Z,18.28,19.25,17.55,17.895,804167
2020-11-17T05:00:00Z,16.3,18.735,16.21,17.825,1597448
2020-11-16T05:00:00Z,15.84,16.08,15.01,15.91,679206
2020-11-13T05:00:00Z,14.57,15.99,14.5,15.795,1173485
2020-11-12T05:00:00Z,16.665,17.01,14.45,14.56,1723623
2020-11-11T05:00:00Z,14.565,15.96,14.4,15.96,364081
2020-11-10T05:00:00Z,15,15.005,13.2,13.97,638154
2020-11-09T05:00:00Z,14.97,15.87,14.21,14.66,624054
2020-11-06T05:00:00Z,12.16,14.955,12.06,13.83,1919223
2020-11-05T05:00:00Z,10.945,12.115,10.94,11.9,530620
2020-11-04T05:00:00Z,10.805,10.91,10.55,10.725,457843
2020-11-03T05:00:00Z,10.6,10.94,10.45,10.505,538011
2020-11-02T05:00:00Z,10.23,10.56,10.23,10.535,237758
2020-10-30T04:00:00Z,10.59,10.63,9.87,10.155,174291
2020-10-29T04:00:00Z,10.855,11.095,10.58,10.755,205867
2020-10-28T04:00:00Z,10.66,10.98,10.11,10.845,240249
2020-10-27T04:00:00Z,9.98,11.035,9.925,10.95,1142952
2020-10-26T04:00:00Z,9.71,9.965,9.61,9.945,332353
2020-10-23T04:00:00Z,9.72,9.795,9.475,9.49,306868
2020-10-22T04:00:00Z,9.34,9.75,9.23,9.675,499873
2020-10-21T04:00:00Z,9.305,9.48,9.2,9.205,103662
2020-10-20T04:00:00Z,9.61,9.65,9.3,9.305,160706
2020-10-19T04:00:00Z,9.76,9.8,9.535,9.555,96996
2020-10-16T04:00:00Z,9.93,9.94,9.67,9.735,124387
2020-10-15T04:00:00Z,9.23,9.885,9.2,9.885,232663
2020-10-14T04:00:00Z,9.595,9.645,9.3,9.355,369339
2020-10-13T04:00:00Z,9.87,9.87,9.415,9.445,298998
2020-10-12T04:00:00Z,10.025,10.025,9.66,9.905,366477
2020-10-09T04:00:00Z,10.18,10.18,9.89,9.98,225618
2020-10-08T04:00:00Z,10.275,10.4,9.99,9.99,1305995
2020-10-07T04:00:00Z,10.02,10.48,10.005,10.005,1129478
2020-10-06T04:00:00Z,9.025,10.175,8.905,9.9,3413053
2020-10-05T04:00:00Z,9.405,9.49,8.925,9.06,612749
2020-10-02T04:00:00Z,9.01,9.275,8.94,9.175,829085
2020-10-01T04:00:00Z,9.72,10.1,9.23,9.44,1952773
2020-09-30T04:00:00Z,10.5,11.395,9.12,9.51,4964603
